screen_name;user_id;full_name;party;location;created_at
JensMaierAfD;916639458409242624;Jens Maier;AfD;Dresden, Sachsen;2017-10-07 12:20:52
DrFriesenMdB;916324637046435840;Dr. Anton Friesen;AfD;Deutschland, Freistaat Thüringen;2017-10-06 15:29:52
Th_Seitz_AfD;913358838736310272;Thomas Seitz;AfD;Berlin, Deutschland;2017-09-28 11:04:51
AndreasBleckMdB;910878654535749632;Andreas Bleck;AfD;Neuwied, Deutschland;2017-09-21 14:49:29
Brehm_inNBGNord;904304932257492992;Sebastian Brehm;CSU;Nürnberg, Bayern;2017-09-03 11:27:51
BrunnerGanzOhr;882929865535705088;Karl-Heinz Brunner;SPD;Illertissen, Deutschland;2017-07-06 11:50:58
Buettner_MdB;881480498043916288;Matthias Büttner;AfD;Stendal, Deutschland;2017-07-02 11:51:42
DanyWagner_DA;874917828436078592;Daniela Wagner;B90/Die Grünen;Darmstadt, Deutschland;2017-06-14 09:14:00
Martin_Hess_AfD;872663038805016576;Martin Hess;AfD;;2017-06-08 03:54:16
SybilleBenning;869205749632831488;Sybille Benning;CDU;Münster, Deutschland;2017-05-29 14:56:14
UliGroetsch;867351565757239296;Uli Grötsch;SPD;Waidhaus, Deutschland;2017-05-24 12:08:22
mvabercron;862747349277450240;Michael von Abercron;CDU;Pinneberg, Deutschland;2017-05-11 19:12:51
ChristophFDP;861992050358616064;Christoph Meyer;FDP;Berlin, Deutschland;2017-05-09 17:11:34
JBrandenburgFDP;857906951707127808;Jens Brandenburg;FDP;Rhein-Neckar-Kreis, Baden-Württemberg;2017-04-28 10:38:51
GustavHerzogMdB;857001941305634816;Gustav Herzog;SPD;Zellertal, Deutschland;2017-04-25 22:42:39
CarloCronenberg;856807050294251520;Carlo Cronenberg;FDP;Arnsberg, Deutschland;2017-04-25 09:48:14
AchimKesslerMdB;849567328899616768;Achim Kessler;Die Linke;Frankfurt am Main, Hessen;2017-04-05 10:20:10
UdoHemmelgarn;849060114388705280;Udo Hemmelgarn;AfD;Harsewinkel, Deutschland;2017-04-04 00:44:40
KlausMindrup;845282647261761536;Klaus Mindrup;SPD;Pankow, Berlin;2017-03-24 14:34:22
NinaScheer_SPD;845213960060243968;Nina Scheer;SPD;Schleswig-Holstein;2017-03-24 10:01:26
h_weyel;841412635270762496;Prof. Harald Weyel;AfD;;2017-03-13 22:16:19
KatharinaKloke;833686206642786304;Katharina Kloke;FDP;;2017-02-20 14:34:15
Alice_Weidel;833398209053605888;Dr. Alice Weidel;AfD;Berlin, Deutschland;2017-02-19 19:29:51
Oehmeulrich;829731236503494656;Ulrich Oehme;AfD;;2017-02-09 16:38:37
WSchinnenburg;828943222432997376;Wieland Schinnenburg;FDP;Hamburg;2017-02-07 12:27:20
nicolabeerfdp;828623998921629696;Nicola Beer;FDP;Frankfurt am Main, Berlin;2017-02-06 15:18:51
ManjaSchuele;827090742162100224;Manja Schüle;SPD;Potsdam;2017-02-02 09:46:14
